ZIP,pop,lat,lng
50009,"19,840",41.646637,-93.468656
50021,"28,306",41.728114,-93.577855
50023,"38,469",41.722629,-93.628779
50032,352,41.665776,-93.544863
50035,"8,341",41.718167,-93.454137
50038,86,41.519069,-93.90231
50047,"6,077",41.478198,-93.487798
50061,"1,848",41.491563,-93.769909
50109,"3,023",41.765209,-93.818272
50111,"14,472",41.683934,-93.789256
50131,"21,439",41.681659,-93.721615
50211,"13,152",41.462357,-93.690896
50226,"6,584",41.794692,-93.703833
50229,894,41.371263,-93.760544
50261,"2,622",41.478658,-93.930119
50263,"25,402",41.598307,-93.866527
50265,"32,532",41.566477,-93.741225
50266,"29,636",41.576535,-93.792538
50309,"8,040",41.58627,-93.620364
50310,"31,832",41.626608,-93.673765
50311,"15,738",41.601157,-93.671665
50312,"15,883",41.585489,-93.674747
50313,"18,834",41.646735,-93.615368
50314,"11,377",41.603541,-93.631729
50315,"35,795",41.545748,-93.620152
50316,"16,520",41.608094,-93.5982
50317,"37,983",41.61558,-93.552615
50319,0,41.591298,-93.603668
50320,"22,687",41.532325,-93.578111
50321,"8,698",41.542065,-93.666449
50322,"31,118",41.633293,-93.730743
50323,"14,593",41.632009,-93.810514
50324,"4,953",41.604933,-93.71256
50325,"17,186",41.611089,-93.788951
50327,"11,400",41.588399,-93.49915
