Site,Address,latitude,longitude,Phone,Website,Appointment_Required_,Scheduling_Phone_Number,Appointment_Scheduling_Link,Testing_Types,Free_Testing_,Available_to_public_,Patients_,Hours,IDSS,Test_Iowa_Pick_Up,Drop_Off,FID
Walgreens LabCorp Collection Drive-Thru,"6200 SE 14TH ST, Des Moines, IA 50320",41.527996,-93.59689,(515) 309-5468,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 309-5468,http://www.walgreens.com/coronavirus,Aegis Collection,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,238
Walgreens Abbott IDNOW Drive-Thru,"2702 SE DELAWARE AVE, Ankeny, IA 50021",41.70224545,-93.581333,(515) 473-6069,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 473-6069,http://www.walgreens.com/coronavirus,Abbott IDNOW,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,215
Primary Health Care West Side,"7555 Hickman Rd, Urbandale, IA 50322",41.61517637,-93.72191119,(515) 225-7201,,"N/A, At-home test",,,At-home PCR real time,Yes,All members of the public,,Call or visit website for hours of operation,,Yes,,138
Walgreens Abbott IDNOW Drive-Thru,"3030 UNIVERSITY AVE, Des Moines, IA 50311",41.600353,-93.65873,(515) 279-3074,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 279-3074,http://www.walgreens.com/coronavirus,Abbott IDNOW,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,209
Walgreens Aegis Collection Drive-Thru,"4900 MILLS CIVIC PKWY, West Des Moines, IA 50265",41.55873138,-93.76995386,(515) 223-8166,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 223-8166,http://www.walgreens.com/coronavirus,Aegis Collection,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,232
Exemplar Care,"Des Moines International Airport, 5800 Fleur Dr, Des Moines, IA 50321",41.531956,-93.64511,(515) 650-4370,https://www.exemplar.care/,Yes,(515) 650-4370,https://www.exemplar.care,Please contact for details,No,All members of the public,"Symptomatic pediatrics (ages 0-2), Symptomatic pediatrics (ages 2-18), Symptomatic adults, Asymptomatic pediatrics (ages 0-2), Asymptomatic pediatrics (ages 2-18), Asymptomatic adults",Please contact for details,,,,52
CVS Drive-Thru Testing,"2303 Merle Hay Rd, Des Moines, IA 50310",41.61614785,-93.69731936,(515) 255-5233,https://www.cvs.com/minuteclinic/covid-19-testing,Yes,(515) 255-5233,https://www.cvs.com/minuteclinic/covid-19-testing,Please contact for details,Please contact for details,All members of the public,,Please contact for details,,,,335
Walgreens Aegis Collection Drive-Thru,"2930 E UNIVERSITY AVE, Des Moines, IA 50317",41.600525,-93.56024,(515) 299-5186,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 299-5186,http://www.walgreens.com/coronavirus,Aegis Collection,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,229
Grace Free Clinic,"3700 Cottage Grove, Des Moines, Iowa 50311",41.59827022,-93.66670093,(979) 733-3697,,No,,,PCR rapid,Yes,All members of the public,"Symptomatic pediatrics (ages 2-18), Symptomatic adults, Asymptomatic pediatrics (ages 2-18), Asymptomatic adults",T: 5 PM-7 PM,,,,63
Hy-Vee Drugstore (7082),"1010 60th Street, West Des Moines, IA 50266",41.55454,-93.790535,(515) 440-1620,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 440-1620,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Mon-Fri 8am-12pm & 1PM-3PM,,,,255
DoctorsNow Walk-In Care,"8779 Northpark Dr., Johnston, IA 50131",41.65575661,-93.73836963,(515) 270-1000,DoctorsNow.com,Yes,(515) 270-1000,doctorsnow.com,"Rapid antigen, PCR real time",No,All members of the public,"Symptomatic pediatrics (ages 0-2), Symptomatic pediatrics (ages 2-18), Symptomatic adults, Asymptomatic pediatrics (ages 0-2), Asymptomatic pediatrics (ages 2-18), Asymptomatic adults",Please contact for details,,,,43
Hy-Vee Pharmacy (1889),1725 Jordan Creek Pkwy,41.59811567,-93.80661151,(515) 226-8921,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 226-8921,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Rapid antigen,Prices vary,All members of the public,,Tues/Thurs 12p-2pm,,,,330
CVS Drive-Thru Testing,"3151 SE 14th St., Des Moines, IA 50320",41.55585822,-93.59601517,(515) 288-1316,https://www.cvs.com/minuteclinic/covid-19-testing,Yes,(515) 288-1316,https://www.cvs.com/minuteclinic/covid-19-testing,Please contact for details,Please contact for details,All members of the public,,Please contact for details,,,,336
Hy-Vee Pharmacy #4 (1148),"4605 Fleur Drive, Des Moines, IA 50321",41.542755,-93.64494,(515) 285-7133,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 285-7133,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Mon/Wed/Fri 7a-9am,,,,307
Hy-Vee Pharmacy #4 (1890),"555 South 51st Street, West Des Moines, IA 50265",41.560898,-93.77324,(515) 221-2751,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 221-2751,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Mon-Fri 8a-10am,,,,313
Hy-Vee Pharmacy (1895),"7101 University Avenue, Windsor Heights, IA 50324",41.600403,-93.71452,(515) 279-4408,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 279-4408,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Mon-Fri 8a-10am,,,,319
State Hygienic Laboratory Ankeny,"2220 S Ankeny Blvd, Ankeny, IA 50023",41.70819328,-93.61707945,(833) 286-8378,http://www.shl.uiowa.edu,"N/A, At-home test",,,At-home PCR real time,Yes,All members of the public,,Call or visit website for hours of operation,,Yes,Yes,156
Grace United Methodist Free Clinic,"3700 Cottage Grove, Des Moines, IA 50311",41.59811244,-93.66747472,(979) 733-3697,,"N/A, At-home test",,,At-home PCR real time,Yes,All members of the public,,Call or visit website for hours of operation,,Yes,Yes,64
Walgreens Abbott IDNOW Drive-Thru,"1330 E UNIVERSITY AVE, Des Moines, IA 50316",41.600563,-93.60146,(515) 299-9791,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 299-9791,http://www.walgreens.com/coronavirus,Abbott IDNOW,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,207
DoctorsNow Walk-In Care,"640 S. 50th St. Ste 1000, West Des Moines, IA 50265",41.56020914,-93.76960977,(515) 270-1000,DoctorsNow.com,Yes,(515) 270-1000,doctorsnow.com,"Rapid antigen, PCR real time",No,All members of the public,"Symptomatic pediatrics (ages 0-2), Symptomatic pediatrics (ages 2-18), Symptomatic adults, Asymptomatic pediatrics (ages 0-2), Asymptomatic pediatrics (ages 2-18), Asymptomatic adults",Please contact for details,,,,44
Hy-Vee Pharmacy #1 (1136),"3330 Martin Luther King Jr. Expressway, Des Moines, IA 50310",41.621483,-93.64859,(515) 255-6213,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 255-6213,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Mon-Fri 8am-10am Sat 9a-11am,,,,299
Walgreens Abbott IDNOW and AEGIS Drive-Thru,"15601 HICKMAN RD, Clive, IA 50325",41.61572689,-93.83329761,(515) 987-6807,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 987-6807,http://www.walgreens.com/coronavirus,Abbott IDNOW and AEGIS,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,187
Hy-Vee Pharmacy #2 (1023),"2510 SW State Street, Ankeny, IA 50023",41.70433277,-93.62348993,(515) 964-0656,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 964-0656,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Tues/Wed/Thurs/Fri 7a-9am,,,,287
Walgreens Aegis Collection Drive-Thru,"1999 GRAND AVE, West Des Moines, IA 50265",41.57179044,-93.73139356,(515) 222-1546,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 222-1546,http://www.walgreens.com/coronavirus,Aegis Collection,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,233
Valley Junction Free Medical,"139 6th Street, West Des Moines, IA 50265",41.57472729,-93.74099731,(515) 954-7508,http://www.fciowa.org,"N/A, At-home test",,,At-home PCR real time,Yes,All members of the public,,Call or visit website for hours of operation,,Yes,,170
Ankeny North Urgent Care,"800 E. 1st St., Ankeny, IA 50021",41.731873,-93.58817,(515) 643-8100,https://www.mercyone.org/desmoines/location/mercyone-ankeny-urgent-care,Yes,(515) 643-8100,https://www.mercyone.org/desmoines/location/mercyone-ankeny-urgent-care,"PCR, Antigen",No,Patients only,"Symptomatic, Asymptomatic",Please contact for details,,,,4
