ZIP,pop,lat,lng,popPercent
50009,19840,41.646637,-93.468656,0.035701946
50021,28306,41.728114,-93.577855,0.050936456
50023,38469,41.722629,-93.628779,0.069224706
50032,352,41.665776,-93.544863,0.000633422
50035,8341,41.718167,-93.454137,0.015009573
50038,86,41.519069,-93.90231,0.000154756
50047,6077,41.478198,-93.487798,0.010935521
50061,1848,41.491563,-93.769909,0.003325464
50109,3023,41.765209,-93.818272,0.005439868
50111,14472,41.683934,-93.789256,0.026042266
50131,21439,41.681659,-93.721615,0.038579336
50211,13152,41.462357,-93.690896,0.023666935
50226,6584,41.794692,-93.703833,0.011847864
50229,894,41.371263,-93.760544,0.001608747
50261,2622,41.478658,-93.930119,0.004718271
50263,25402,41.598307,-93.866527,0.045710728
50265,32532,41.566477,-93.741225,0.058541115
50266,29636,41.576535,-93.792538,0.053329782
50309,8040,41.58627,-93.620364,0.014467926
50310,31832,41.626608,-93.673765,0.05728147
50311,15738,41.601157,-93.671665,0.028320425
50312,15883,41.585489,-93.674747,0.028581351
50313,18834,41.646735,-93.615368,0.033891656
50314,11377,41.603541,-93.631729,0.020472835
50315,35795,41.545748,-93.620152,0.064412861
50316,16520,41.608094,-93.5982,0.029727629
50317,37983,41.61558,-93.552615,0.068350153
50319,0,41.591298,-93.603668,0
50320,22687,41.532325,-93.578111,0.040825104
50321,8698,41.542065,-93.666449,0.015651992
50322,31118,41.633293,-93.730743,0.055996631
50323,14593,41.632009,-93.810514,0.026260005
50324,4953,41.604933,-93.71256,0.00891289
50325,17186,41.611089,-93.788951,0.030926091
50327,11400,41.588399,-93.49915,0.020514223
